Contract_link,Contract,name,txn,txn_link,startBlock
https://ftmscan.com/token/0x2241fabdf45c54ca330c34c783b114e6bcaae7e7,0x2241fabdf45c54ca330c34c783b114e6bcaae7e7,Ghost Finance: GHOST Token,0x0ad87a58f21bf55250fb19b5bed4a4c261f0849f1ca59332325aa42bc86d3403,https://ftmscan.com/tx/0x0ad87a58f21bf55250fb19b5bed4a4c261f0849f1ca59332325aa42bc86d3403,6040410
https://ftmscan.com/token/0x657A1861c15A3deD9AF0B6799a195a249ebdCbc6,0x657A1861c15A3deD9AF0B6799a195a249ebdCbc6,Cream.Finance: CREAM Token,0xa8425550be4d92076da386e963d49c799ef79070c68e40bc91d20a266ec1aae0,https://ftmscan.com/tx/0xa8425550be4d92076da386e963d49c799ef79070c68e40bc91d20a266ec1aae0,2301224
https://ftmscan.com/token/0xbe41772587872a92184873d55b09c6bb6f59f895,0xbe41772587872a92184873d55b09c6bb6f59f895,ProjectMars: MARS Token,0x0b9f4a90fd1072159bc2d33922b14a6c97f48cedf4ce40a04307115f433788d1,https://ftmscan.com/tx/0x0b9f4a90fd1072159bc2d33922b14a6c97f48cedf4ce40a04307115f433788d1,7425185
https://ftmscan.com/token/0xad84341756bf337f5a0164515b1f6f993d194e1f,0xad84341756bf337f5a0164515b1f6f993d194e1f,Fantom Finance: fUSD Token,0x5b22d30bb077151ccbadf9f6cc1e5ab9fdd241e30488522d8dee2293bd542933,https://ftmscan.com/tx/0x5b22d30bb077151ccbadf9f6cc1e5ab9fdd241e30488522d8dee2293bd542933,640722
https://ftmscan.com/token/0x27f26f00e1605903645bbabc0a73e35027dccd45,0x27f26f00e1605903645bbabc0a73e35027dccd45,Fantom Finance: fBNB Token,0x03585369d6cb260692bae5d638ab8f8961b7cd534972e9d4a3db36f6bd4d18a5,https://ftmscan.com/tx/0x03585369d6cb260692bae5d638ab8f8961b7cd534972e9d4a3db36f6bd4d18a5,1412946
https://ftmscan.com/token/0x81740d647493a61329e1c574a11ee7577659fb14,0x81740d647493a61329e1c574a11ee7577659fb14,Fantom Finance: fCHF Token,0x0d387efa03ade49bb068a723fa53e326bfb6a440ba5637bc65d8750a8249fec0,https://ftmscan.com/tx/0x0d387efa03ade49bb068a723fa53e326bfb6a440ba5637bc65d8750a8249fec0,1412972
https://ftmscan.com/token/0x24d39324cf3697fd9fd78714e8cdeb5df66e3dcd,0x24d39324cf3697fd9fd78714e8cdeb5df66e3dcd,Fantom Finance: fCNY Token,0xbfa8f112216954cd772b0737d41e4442cd4a21f68e6886229ce99f2ab23c1097,https://ftmscan.com/tx/0xbfa8f112216954cd772b0737d41e4442cd4a21f68e6886229ce99f2ab23c1097,1412990
https://ftmscan.com/token/0xe105621721d1293c27be7718e041a4ce0ebb227e,0xe105621721d1293c27be7718e041a4ce0ebb227e,Fantom Finance: fEURO Token,0x9cf3ad8084a7348df87498b0e1a1cb8608ba9ed2dc0587b29ab0aee7afbfbd7d,https://ftmscan.com/tx/0x9cf3ad8084a7348df87498b0e1a1cb8608ba9ed2dc0587b29ab0aee7afbfbd7d,1413022
https://ftmscan.com/token/0xcde58e4b6c7b78b04da664edb0a9752cc5fedbd5,0xcde58e4b6c7b78b04da664edb0a9752cc5fedbd5,Fantom Finance: fGBP Token,0xbe303c8c8f9919632e2c1ba47a0e28c896303441fa88bc1a4f2ac03cc39f2285,https://ftmscan.com/tx/0xbe303c8c8f9919632e2c1ba47a0e28c896303441fa88bc1a4f2ac03cc39f2285,1413035
https://ftmscan.com/token/0x2202c52c9076a49400aaccf159e1956269eaa673,0x2202c52c9076a49400aaccf159e1956269eaa673,Fantom Finance: fGold Token,0xe41bc05e924e2cce28470ed20c90cc9d1618faac4f5f92962510e959a6424233,https://ftmscan.com/tx/0xe41bc05e924e2cce28470ed20c90cc9d1618faac4f5f92962510e959a6424233,1413045
https://ftmscan.com/token/0x2b9c073ec670b70f417bbaf3bbb052aa563a0a23,0x2b9c073ec670b70f417bbaf3bbb052aa563a0a23,Fantom Finance: fKRW Token,0xc99af9baadd82a99d35b59a1bd40010e1f472f4bd6e9cc88a8fbec88712d4e20,https://ftmscan.com/tx/0xc99af9baadd82a99d35b59a1bd40010e1f472f4bd6e9cc88a8fbec88712d4e20,1413060
https://ftmscan.com/token/0xa649a19423052dc6b320360b3c760884e095ac57,0xa649a19423052dc6b320360b3c760884e095ac57,Fantom Finance: fLink Token,0xf619146c06ab3a90fa0309e1238f1f34c3b1bb76c5ad6008a0fcf9871a1680d2,https://ftmscan.com/tx/0xf619146c06ab3a90fa0309e1238f1f34c3b1bb76c5ad6008a0fcf9871a1680d2,1413068
https://ftmscan.com/token/0xf15e88eef35bf4709a4c3e99c00358f9247d4531,0xf15e88eef35bf4709a4c3e99c00358f9247d4531,Fantom Finance: fSilver Token,0x768a2f09f1da46710822645d9e4b6f67288ab955ae02f295296d775407375db8,https://ftmscan.com/tx/0x768a2f09f1da46710822645d9e4b6f67288ab955ae02f295296d775407375db8,1413075
https://ftmscan.com/token/0xe297e06761a5489380538a0308b6f9b4a53bea45,0xe297e06761a5489380538a0308b6f9b4a53bea45,Fantom Finance: fWTI Oil Token,0x3a0bf3cffc703eb86b25719157be21abb0a6c805789a70ecf69573da5cd2f267,https://ftmscan.com/tx/0x3a0bf3cffc703eb86b25719157be21abb0a6c805789a70ecf69573da5cd2f267,1413081
https://ftmscan.com/token/0x0E1694483eBB3b74d3054E383840C6cf011e518e,0x0E1694483eBB3b74d3054E383840C6cf011e518e,Synthetix: sUSD Token,0x06f803bbf5d6c7104b0d9193af8f4e7a48d09db35c59b45596f21b82f1f515de,https://ftmscan.com/tx/0x06f803bbf5d6c7104b0d9193af8f4e7a48d09db35c59b45596f21b82f1f515de,2301108
